game,note_user
Ballads of Reemus When the Bed Bites,5.0
Ballpoint Universe Infinite,4.0
Balls of Steel,5.0
Bang Bang Racing,5.0
Banished,2.954022988505747
Bard to the Future,5.0
Bard's Gold,5.0
Bardbarian,3.5
Basement,3.0
Bastion,3.1869158878504673
Batla,2.3333333333333335
Batla - Starter Pack,5.0
Batla - Tank,5.0
Batman Arkham Asylum,2.3333333333333335
Batman Arkham Asylum GOTY Edition,3.2545454545454544
Batman Arkham City,3.0
Batman Arkham City GOTY,2.9724770642201834
Batman Arkham Knight,3.2142857142857144
Batman Arkham Origins,2.9183673469387754
Batman Arkham Origins -  Online Supply Drop 1,5.0
Batman Arkham Origins - Infinite Earths Skins Pack,5.0
Batman Arkham Origins - Initiation,5.0
Batman Arkham Origins - New Millennium Skins Pack,5.0
Batman Arkham Origins - Online Supply Drop 2,5.0
Batman Arkham Origins Blackgate - Deluxe Edition,3.0
Battle Academy,5.0
Battle Academy 2 Eastern Front,5.0
Battle Battalions,4.25
Battle Brothers,5.0
Battle Group 2,5.0
Battle Islands,2.1818181818181817
Battle Los Angeles,5.0
Battle Mages,5.0
Battle Nations,1.875
Battle for Blood - Epic battles within 30 seconds!,5.0
Battle for Graxia,4.0
Battle of Empires  1914-1918,3.0
Battle vs Chess,5.0
BattleBlock Theater,3.207547169811321
BattleSpace,5.0
Battlefield 2,2.2857142857142856
Battlefield Bad Company 2,2.7117117117117115
Battlefield Bad Company 2 Vietnam,5.0
Battlegrounds of Eldhelm,5.0
Battlepaths,3.5
Battleplan American Civil War,5.0
Battlestations Midway,3.5
Battlestations Pacific,2.5
BeamNG.drive,2.888888888888889
Beast Boxing Turbo,3.5
Beasts of Prey,1.75
Beat Hazard,2.911764705882353
Beat Hazard - Shadow Operations Unit,5.0
BeatBlasters III,5.0
Beatbuddy Tale of the Guardians,2.5555555555555554
Bedlam,5.0
Before the Echo,2.2
Bejeweled 2 Deluxe,3.0
Bejeweled 3,2.5714285714285716
Bejeweled Deluxe,5.0
Bejeweled Twist,5.0
Belladonna,5.0
"Ben There, Dan That!",3.2
Bermuda,3.5
Besiege,2.4505494505494507
Betrayer,3.5
Better Late Than DEAD,5.0
Between IGF Demo,5.0
Beware Planet Earth,5.0
Beyond Divinity,3.5
Beyond Eyes,5.0
Beyond Good & Evil,3.0
Beyond Gravity,5.0
Beyond Space,5.0
BiT Evolution,5.0
Bientt l't,5.0
Bierzerkers,5.0
Big Brain Wolf,3.5
Big Money! Deluxe,5.0
Big Pharma,3.0
Binary Domain,3.2857142857142856
Bio Menace,5.0
BioShock,2.902097902097902
BioShock 2,3.015151515151515
BioShock Infinite,3.240566037735849
BioShock Infinite - Season Pass,5.0
BioShock Infinite Burial at Sea - Episode 1,5.0
BioShock Infinite Burial at Sea - Episode 2,5.0
Biology Battle,5.0
Bionic Commando,5.0
Bionic Commando Rearmed,3.5
Bionic Dues,3.5
Bird Assassin,5.0
Birth Of America,5.0
Bit Odyssey,5.0
Bitweb,5.0
Black Fire,3.5
Black Ice,5.0
Black Ink,3.0
Black Mesa,3.5
Black Mirror,5.0
Black Mirror II,5.0
Black Sails,5.0
Black Viper Sophia's Fate,5.0
BlackShadows,5.0
Blackguards,2.4166666666666665
Blackguards 2,3.0
Blackguards Untold Legends,5.0
Blacklight Retribution,2.654320987654321
Blacklight Tango Down,3.5
Blackwell Convergence,5.0
Blackwell Deception,5.0
Blackwell Epiphany,5.0
Blackwell Unbound,5.0
Blade Kitten,5.0
Blade Symphony,2.4166666666666665
Blades of Time,2.3333333333333335
Blake Stone Aliens of Gold,5.0
Blake Stone Planet Strike,5.0
Blast Em!,5.0
Blast Em! Source Code,5.0
BlastZone 2,5.0
Blaster Shooter GunGuy!,4.0
BlazBlue Calamity Trigger,5.0
BlazBlue Continuum Shift Extend,3.0
BlazeRush,5.0
Blazing Angels 2 Secret Missions of WWII,5.0
